market,month,year,quantity,priceMin,priceMax,priceMod,city,state,date,lon,lat
ABOHAR(PB),January,2005,2350,404,493,446,ABOHAR,PB,2005-01-01,74.1993043,30.1452928
ABOHAR(PB),January,2006,900,487,638,563,ABOHAR,PB,2006-01-01,74.1993043,30.1452928
ABOHAR(PB),January,2010,790,1283,1592,1460,ABOHAR,PB,2010-01-01,74.1993043,30.1452928
ABOHAR(PB),January,2011,245,3067,3750,3433,ABOHAR,PB,2011-01-01,74.1993043,30.1452928
ABOHAR(PB),January,2012,1035,523,686,605,ABOHAR,PB,2012-01-01,74.1993043,30.1452928
ABOHAR(PB),January,2013,675,1327,1900,1605,ABOHAR,PB,2013-01-01,74.1993043,30.1452928
ABOHAR(PB),January,2014,440,1025,1481,1256,ABOHAR,PB,2014-01-01,74.1993043,30.1452928
ABOHAR(PB),January,2015,1305,1309,1858,1613,ABOHAR,PB,2015-01-01,74.1993043,30.1452928
ABOHAR(PB),February,2005,1400,286,365,324,ABOHAR,PB,2005-02-01,74.1993043,30.1452928
ABOHAR(PB),February,2006,1800,343,411,380,ABOHAR,PB,2006-02-01,74.1993043,30.1452928
ABOHAR(PB),February,2010,555,1143,1460,1322,ABOHAR,PB,2010-02-01,74.1993043,30.1452928
ABOHAR(PB),February,2011,300,950,1400,1125,ABOHAR,PB,2011-02-01,74.1993043,30.1452928
ABOHAR(PB),February,2012,675,510,650,570,ABOHAR,PB,2012-02-01,74.1993043,30.1452928
ABOHAR(PB),February,2013,845,1400,1843,1629,ABOHAR,PB,2013-02-01,74.1993043,30.1452928
ABOHAR(PB),February,2014,1115,831,1163,983,ABOHAR,PB,2014-02-01,74.1993043,30.1452928
ABOHAR(PB),February,2015,1115,1200,1946,1688,ABOHAR,PB,2015-02-01,74.1993043,30.1452928
ABOHAR(PB),March,2005,900,281,357,322,ABOHAR,PB,2005-03-01,74.1993043,30.1452928
ABOHAR(PB),March,2006,3185,359,425,391,ABOHAR,PB,2006-03-01,74.1993043,30.1452928
ABOHAR(PB),March,2010,385,510,878,688,ABOHAR,PB,2010-03-01,74.1993043,30.1452928
ABOHAR(PB),March,2011,850,669,1042,855,ABOHAR,PB,2011-03-01,74.1993043,30.1452928
ABOHAR(PB),March,2012,1295,538,675,608,ABOHAR,PB,2012-03-01,74.1993043,30.1452928
ABOHAR(PB),March,2013,1055,920,1323,1080,ABOHAR,PB,2013-03-01,74.1993043,30.1452928
ABOHAR(PB),March,2014,1300,844,1181,994,ABOHAR,PB,2014-03-01,74.1993043,30.1452928
ABOHAR(PB),March,2015,920,1260,1980,1745,ABOHAR,PB,2015-03-01,74.1993043,30.1452928
ABOHAR(PB),April,2006,2100,326,400,366,ABOHAR,PB,2006-04-01,74.1993043,30.1452928
ABOHAR(PB),April,2010,840,466,755,611,ABOHAR,PB,2010-04-01,74.1993043,30.1452928
ABOHAR(PB),April,2011,495,436,625,553,ABOHAR,PB,2011-04-01,74.1993043,30.1452928
ABOHAR(PB),April,2012,2028,486,709,573,ABOHAR,PB,2012-04-01,74.1993043,30.1452928
ABOHAR(PB),April,2013,932,892,1225,1035,ABOHAR,PB,2013-04-01,74.1993043,30.1452928
ABOHAR(PB),April,2014,670,600,944,772,ABOHAR,PB,2014-04-01,74.1993043,30.1452928
ABOHAR(PB),May,2005,375,390,550,475,ABOHAR,PB,2005-05-01,74.1993043,30.1452928
ABOHAR(PB),May,2006,425,300,460,390,ABOHAR,PB,2006-05-01,74.1993043,30.1452928
ABOHAR(PB),May,2010,2050,391,578,494,ABOHAR,PB,2010-05-01,74.1993043,30.1452928
ABOHAR(PB),May,2011,1010,323,513,444,ABOHAR,PB,2011-05-01,74.1993043,30.1452928
ABOHAR(PB),May,2012,300,250,675,500,ABOHAR,PB,2012-05-01,74.1993043,30.1452928
ABOHAR(PB),May,2013,1410,617,980,814,ABOHAR,PB,2013-05-01,74.1993043,30.1452928
ABOHAR(PB),May,2014,1350,789,1111,953,ABOHAR,PB,2014-05-01,74.1993043,30.1452928
ABOHAR(PB),May,2015,940,1020,1620,1310,ABOHAR,PB,2015-05-01,74.1993043,30.1452928
ABOHAR(PB),June,2005,1250,269,368,318,ABOHAR,PB,2005-06-01,74.1993043,30.1452928
ABOHAR(PB),June,2006,125,200,320,300,ABOHAR,PB,2006-06-01,74.1993043,30.1452928
ABOHAR(PB),June,2007,900,500,800,700,ABOHAR,PB,2007-06-01,74.1993043,30.1452928
ABOHAR(PB),June,2010,2075,363,515,460,ABOHAR,PB,2010-06-01,74.1993043,30.1452928
ABOHAR(PB),June,2011,1895,338,547,469,ABOHAR,PB,2011-06-01,74.1993043,30.1452928
ABOHAR(PB),June,2012,1440,443,650,557,ABOHAR,PB,2012-06-01,74.1993043,30.1452928
ABOHAR(PB),June,2013,1645,853,1297,1110,ABOHAR,PB,2013-06-01,74.1993043,30.1452928
ABOHAR(PB),June,2014,1300,683,1129,942,ABOHAR,PB,2014-06-01,74.1993043,30.1452928
ABOHAR(PB),June,2015,610,957,1829,1457,ABOHAR,PB,2015-06-01,74.1993043,30.1452928
ABOHAR(PB),July,2005,825,319,387,348,ABOHAR,PB,2005-07-01,74.1993043,30.1452928
ABOHAR(PB),July,2007,80,700,850,800,ABOHAR,PB,2007-07-01,74.1993043,30.1452928
ABOHAR(PB),July,2010,2515,481,737,617,ABOHAR,PB,2010-07-01,74.1993043,30.1452928
ABOHAR(PB),July,2011,1235,660,915,780,ABOHAR,PB,2011-07-01,74.1993043,30.1452928
ABOHAR(PB),July,2012,1070,516,780,693,ABOHAR,PB,2012-07-01,74.1993043,30.1452928
ABOHAR(PB),July,2013,1325,1913,2453,2187,ABOHAR,PB,2013-07-01,74.1993043,30.1452928
ABOHAR(PB),July,2014,880,1300,2325,1883,ABOHAR,PB,2014-07-01,74.1993043,30.1452928
ABOHAR(PB),July,2015,795,1008,2000,1517,ABOHAR,PB,2015-07-01,74.1993043,30.1452928
ABOHAR(PB),August,2005,1400,457,543,499,ABOHAR,PB,2005-08-01,74.1993043,30.1452928
ABOHAR(PB),August,2007,60,1400,1650,1500,ABOHAR,PB,2007-08-01,74.1993043,30.1452928
ABOHAR(PB),August,2010,1125,591,1081,877,ABOHAR,PB,2010-08-01,74.1993043,30.1452928
ABOHAR(PB),August,2011,1495,900,1217,1050,ABOHAR,PB,2011-08-01,74.1993043,30.1452928
ABOHAR(PB),August,2012,775,638,913,786,ABOHAR,PB,2012-08-01,74.1993043,30.1452928
ABOHAR(PB),August,2013,1072,3364,3959,3718,ABOHAR,PB,2013-08-01,74.1993043,30.1452928
ABOHAR(PB),August,2014,885,1331,2185,1923,ABOHAR,PB,2014-08-01,74.1993043,30.1452928
ABOHAR(PB),September,2005,2525,896,1048,963,ABOHAR,PB,2005-09-01,74.1993043,30.1452928
ABOHAR(PB),September,2006,125,283,460,417,ABOHAR,PB,2006-09-01,74.1993043,30.1452928
